7.07314	248.07	16.0271
7.15092	213.154	21.8706
7.29579	153.095	23.5605
7.14416	198.373	2.12879
7.04263	184.263	11.5142
7.13544	179.135	16.6024
7.11207	188.444	14.1176
7.19947	192.735	5.68245
7.20718	150.314	10.7174
7.15162	219.788	8.55598
7.19883	183.848	17.1999
7.11182	204.746	18.818
7.05817	208.1	8.02757
7.21399	145.994	35.1949
7.15141	220.423	12.3126
7.18311	200.686	12.55
7.09508	217.647	44.0447
7.27164	156.193	15.4736
7.21531	178.692	8.92609
7.08884	189.903	11.8496
7.09649	208.557	13.9889
7.16699	218.752	16.8992
7.18203	193.344	34.6659
7.29549	169.846	29.6973
7.12691	206.614	30.4746
7.01252	260.678	4.91156
7.14291	200.011	24.5825
7.21431	191.454	28.5521
7.24758	191.208	9.11497
7.1261	237.144	452
7.05626	245.038	657.56
7.03529	274.909	391.372
6.95288	269.626	369.33
7.04163	239.941	427.269
7.06951	270.082	506.605
7.08042	252.597	420.944
6.92624	293.99	284.241
7.0911	232.417	343.008
6.92623	266.981	284.246
6.93882	234.605	346.05
7.08587	295.809	483.484
7.00577	248.659	365.141
7.02684	265.003	622.079
6.96859	251.111	349.695
6.97936	294.905	466.355
7.2887	193.986	401.906
7.19521	216.734	302.057
7.19275	186.884	366.338
7.18168	226.155	447.915
7.04196	246.732	213.637
6.81421	393.816	159.194
7.15187	181.221	395.478
6.99959	316.739	533.854
7.08944	226.08	387.18
6.71713	448.402	900.259
6.74827	512.113	812.149
6.97721	437.215	946.019
6.65222	556.254	572.863
7.14702	282.021	1834.1
